Laptop Name;Old Price;Discount Percentages;Current Prices;Rating;Number of Ratings;Link;Unit Available;Offer Type;Seller Name and Score;Door Delivery Info;Pickup Station Info;Return Policy Info
"Lenovo IdeaPad 3 15ITL6 Intel® Core™ I3-1115G4 - Ram 4GB - 1TB HHD - Integrated Intel® UHD -15.6"" FHD - Arctic Grey -Dos";EGP 13,728.00;0.01;EGP 13,699.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/lenovo-ideapad-3-15iml05-laptop-intel-corei3-10110u-4gb-ram-1tb-hdd-15.6-inch-fhd-dos-no-windows-platinum-grey-englisharabic-keyboard-37851568.html;1 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
DELL G15 - 5511 - Gaming Laptop - Intel Core I7-11800H - 16GB RAM - 512GB SSD - 15.6 Inch FHD - Nvidia RTX 3050 4G - Win11 Home - Grey;EGP 29,999.00;0.25;EGP 22,499.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/huawei-matebook-b3-420-laptop-core-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-gpu-14in-fhd-space-gray-dos-no-windows-44281912.html;2 units left;Offer Type: Back to school offers;Seller Name: BS-Store Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Lenovo Legion 5 Pro 16ITH6H Intel® Core™ I7-11800H - Ram 16 GB - 1TB SSD - NVIDIA® GeForce RTX™ 3060 6GB - 16"" WQXGA (2560x1600) IPS - Stingray - DOS";EGP 10,999.00;0.07;EGP 10,190.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i3-1115g4-4gb-ram-1tb-hdd-15.6-inch-fhd-silver-44860777.html;1 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Acer Aspire 5 A515-45G-R1RE AMD Ryzen 5-5500U 512GB SSD 8GB Ram AMD Radeon RX640 2GB 15.6'' Inch - DOS ""No Windows""";EGP 34,999.00;0.2;EGP 27,899.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/acer-aspire-7-a715-43g-r3a6-notebook-laptop-amd-ryzentm-5-5625u-16gb-ram-512-ssd-nvidiar-geforcer-rtxtm-3050-15.6-inch-fhd-windows-11-charcoal-black-44356859.html;2 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Lenovo IdeaPad 3 15ITL6 Intel® Core™ I3-1115G4 - Ram 4GB - 1TB HDD - GPU Integrated Intel® UHD - 15.6"" FHD - Abyss Blue - Dos";EGP 16,999.00;0.05;EGP 16,099.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i5-1135g7-8gb-ram-1tb-hdd-15.6-inch-fhd-nvidia-mx-350-.-2gb-silver-44860780.html;2 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
HP 15-DW3019ne,i5-1135G7,1TB HDD+128 SSD, 8 GB,MX350 Silver,Windows 10;Old price not available;0;EGP 39,990.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-envy-13-ba1018ne-i7-1165g7-16gb-1tb-ssd-mx450-2gb-45486316.html;2 units left;Offer type: information not available;Seller Name: GRD international Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Lenovo IdeaPad 1 15IGL7, Intel Pentium N5030, 8GB RAM, 256GB SSD, Integrated Graphics, 15.6 HD - Abyss Blue;EGP 38,166.95;0.04;EGP 36,654.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-laptop-pavilion-15-ec2027ne-gaming-ryzen-7-5800h-16gb-ram-512gb-ssd-rtx-3050-4gb-15.6-fhd-144hz-backlit-ae-kb-black-dos-no-windows-37851585.html;1 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Apple MacBook Air13 2020/M1/8GB/256GB/13 Inch Retina/Silver/AR;EGP 26,666.00;0.04;EGP 25,666.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/lenovo-ideapad-5-intel-i7-1165g7-ram-16gb-512gb-ssd-nvidia-mx450-2gb-15.6-fhd-graphite-grey-dos-47373482.html;3 units left;Offer type: information not available;Seller Name: Brothers Computer Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Lenovo Flex 5 - AMD Ryzen™7-5700U - 8GB - 512GB SSD - AMD Radeon™ Graphics - 14""FHD - Win10 - Graphite Grey";EGP 31,272.00;0.06;EGP 29,432.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-probook-450-g8-laptop-intel-core-i7-1165g7-8gb-ram-512gb-ssd-15.6-inch-fhd-intel-iris-x-graphics-freedos-no-windows-silver-englisharabic-keyboard-37851584.html;1 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Lenovo IdeaPad 5 15ITL05, Intel Core I7-1165G7, 8GB RAM, 512GB SSD, GeForce MX450, 15.6 FHD - Grey;Old price not available;0;EGP 11,990.00;4 out of 5;(1 verified rating);https://www.jumia.com.eg/fujitsu-a3511-coretm-i3-1115g4-8gb-256gb-ssd-dos-no-windows-44750302.html;3 units left;Offer Type: Back to school offers;Seller Name: GRD international Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
